,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Title,C,Q,AgeBins,Deck_0,Deck_1,Deck_2,Deck_3,Deck_4,Deck_5,Deck_6,Deck_7,Deck_8,CabinLetter
0,0,3,male,22.0,1,0,7,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
1,1,1,female,38.0,1,0,71,Mrs,1,0,adult,0,1,0,0,0,0,0,0,0,1
2,1,3,female,26.0,0,0,7,Miss,0,0,adult,1,0,0,0,0,0,0,0,0,0
3,1,1,female,35.0,1,0,53,Mrs,0,0,adult,0,1,0,0,0,0,0,0,0,1
4,0,3,male,35.0,0,0,8,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
5,0,3,male,20.5348532076,0,0,8,Mr,0,1,adult,1,0,0,0,0,0,0,0,0,0
6,0,1,male,54.0,0,0,51,Mr,0,0,mature,0,0,1,0,0,0,0,0,0,2
7,0,3,male,2.0,3,1,21,Master,0,0,child,1,0,0,0,0,0,0,0,0,0
8,1,3,female,27.0,0,2,11,Mrs,0,0,adult,1,0,0,0,0,0,0,0,0,0
9,1,2,female,14.0,1,0,30,Mrs,1,0,child,1,0,0,0,0,0,0,0,0,0
10,1,3,female,4.0,1,1,16,Miss,0,0,child,0,0,0,1,0,0,0,0,0,3
11,1,1,female,58.0,0,0,26,Miss,0,0,old,0,1,0,0,0,0,0,0,0,1
12,0,3,male,20.0,0,0,8,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
13,0,3,male,39.0,1,5,31,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
14,0,3,female,14.0,0,0,7,Miss,0,0,child,1,0,0,0,0,0,0,0,0,0
15,1,2,female,55.0,0,0,16,Mrs,0,0,mature,1,0,0,0,0,0,0,0,0,0
16,0,3,male,2.0,4,1,29,Master,0,1,child,1,0,0,0,0,0,0,0,0,0
17,1,2,male,33.3483113468,0,0,13,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
18,0,3,female,31.0,1,0,18,Mrs,0,0,adult,1,0,0,0,0,0,0,0,0,0
19,1,3,female,27.4215716865,0,0,7,Mrs,1,0,adult,1,0,0,0,0,0,0,0,0,0
20,0,2,male,35.0,0,0,26,Mr,0,0,adult,1,0,0,0,0,0,0,0,0,0
21,1,2,male,34.0,0,0,13,Mr,0,0,adult,0,0,0,0,1,0,0,0,0,4
22,1,3,female,15.0,0,0,8,Miss,0,1,child,1,0,0,0,0,0,0,0,0,0
23,1,1,male,28.0,0,0,35,Mr,0,0,adult,0,0,0,0,0,1,0,0,0,5
